'q0';'q1';'q2';'q3';'q4';'q5';'q6';'q7';'q8';'q9'
'Hej!';'Jak się masz?';'Jaki był Twój ulubiony sport?';'Co planujesz robić w weekend?';'Mam dla Ciebie żart: Co jest najlepsze w życiu w Szwajcarii? Cóż, flaga to duży plus.';'Teraz Ty opowiedz żart!';'Jak oceniasz w skali 1-10 jazdę na nartach?';'Jaki kraj w Europie ma biało-czerwoną flagę?'
'Cześć!';'Jak się czujesz?';'Jaki był Twój ulubiony przedmiot?';'Co planujesz robić w przyszłym tygodniu?';'Mam dla Ciebie żart: Kiedyś myślałem, że jestem niezdecydowany, ale teraz nie jestem zbyt pewny.';'Teraz Ty opowiedz żart!';'Jak oceniasz w skali 1-10 mój żart?';'Jak nazywa się stolica Polski?'
'Dzień dobry!';'O czym Pan dzisiaj myśli?';'Jaka była Twoja ulubiona potrawa w dzieciństwie?';'Co będziesz dzisiaj jadł na kolację?';'Uwaga żart: Jaka jest ulubiona zemsta cukiernika? Słodka.';'Teraz Ty mi opowiedz coś!';'Jak oceniasz w skali 1-10 pizzę?';'Z jakiego kraju pochodzi pizza?'
'Dobry wieczór!';'Czy przejmujesz się czymś?';'Jaki lubiłeś napój jak mały?';'Czego napijesz się dzisiaj wieczorem?';'Znam dobry żart: Dzisiaj do moich drzwi zapukał mężczyzna i poprosił o małą darowiznę na miejscowy basen. Dałem mu szklankę wody.';'A teraz Ty mi coś opowiedz!';'Jak oceniasz w skali 1-10 sok pomarańczowy?';'W jakim kraju znajduje się Big Ben?'
'Cześć!';'Jak tam samopoczucie?';'Czy mieszkałeś za granicą?';'Jaką pogodę przewidujesz na święta?';'Dzisiaj do moich drzwi zapukał mężczyzna i poprosił o małą darowiznę na miejscowy basen. Dałem mu szklankę wody.';'Czy mógłbyś mi opowiedzieć żart?';'W skali 1-10 jak oceniasz klimat w Polsce?';'W którym roku odbyła się bitwa pod Grunwaldem?'
'Dzień dobry!';'Czy umiesz gotować?';'W jaką planszówkę grałeś, jak byłeś mały?';'Czy w przyszłym roku będzie śnieg na narty?';'Łap dobry kawał: Czy Transformers-y mają ubezpieczenie na samochód lub na życie?';'Opowiedz mi jakąś historyjkę!';'W skali od 1 do 10 jak bardzo podoba Ci się muzyka Jazz?';'Jaka jest najdłuższa rzeka w Polsce?'
'Dobry wieczór!';'Czy lubisz filmy fantasy?';'Jaki był Twój najlepszy film, który widziałeś?';'Czy wybierasz się na jakiś film w najbliższym czasie?';'Mam dobry żart z tej tematyki: Co mówi Obcy na stoku narciarskim? No, stromo.';'A teraz Twoja kolej na żart!';'W skali od 1 do 10 jak bardzo podoba Ci się film Obcy?';'Jakie miasto jest nazywane Big Apple?'
'Dzień dobry!';'Jaką książkę obecnie czytasz?';'Jaką książkę miałeś jako lekturę szkolną?';'Czy planujesz przeczytać jakąś książkę w najbliższym czasie?';'Mam dla Ciebie żart: Tak wiele razy oblałem matematykę w szkole, że już straciłem rachubę.';'Teraz Twoja kolej opowiedzieć jakąś historię!';'W skali od 1 do 10 jak bardzo podoba Ci się Ania z zielonego wzgórza?';'Kto napisał Potop?'
'Hej!';'Jaka jest Twoja ulubiona sztuka teatralna?';'Czy byłeś kiedyś w teatrze?';'Czy planujesz pójść do opery?';'Posłuchaj tego żartu: W teatrze Jasio mówi do mamy: Ale nudna sztuka. Mama pyta: To, czemu bijesz brawo? Jaś na to: Bo się skończyła.';'Teraz Twoja kolej na żart!';'W skali 1-10 jak oceniasz Dziadka do Orzechów?';'Kto jest autorem opery Straszny Dwór?'
'Cześć!';'Jakie jest Twoje ulubione oprogramowanie?';'Czy miałeś kiedyś iPhona?';'Jaki będzie Twój następny telefon?';'Posłuchaj mojego żartu: Na świecie jest 10 rodzajów ludzi: ci, którzy rozumieją system binarny i ci, którzy go nie rozumieją.';'Teraz Ty dawaj jakiś żart!';'W skali 1-10 jak oceniasz Cyberpunk 2077?';'W jakim kraju powstał Facebook?'
